"Dataset","Model_Type","RMSE","Rsquared"
"Bacteria","Roots_Only_PCoA1",0.053817399149672,0.571061605843617
"Bacteria","Roots_Only_PCoA2",0.0450586260669978,0.448790235800293
"Bacteria","PlantShort_Only_PCoA1",0.0412942262761523,0.742860778096557
"Bacteria","PlantShort_Only_PCoA2",0.0279214432225393,0.803863351214638
"Bacteria","All_Predictors_PCoA1",0.0511402892502071,0.696621639950783
"Bacteria","All_Predictors_PCoA2",0.029379965615926,0.798544443118165
"Fungi","Roots_Only_PCoA1",0.153032747755636,0.459514216968494
"Fungi","Roots_Only_PCoA2",0.158350523179969,0.115816068228874
"Fungi","PlantShort_Only_PCoA1",0.127640700630688,0.617773605794157
"Fungi","PlantShort_Only_PCoA2",0.132685798304496,0.440710044284279
"Fungi","All_Predictors_PCoA1",0.14759928085193,0.555025287682065
"Fungi","All_Predictors_PCoA2",0.13471812963543,0.4444465913842
